"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Latest Year","CO2.emissions..latest.year","X..change.since.1990","CO2.emissions..per.capita...latest.year"
"27","Burkina Faso",NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1604.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1604.34,NA,0.11
"28","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,143.18,NA,NA,NA,NA,NA,NA,140.69,NA,NA,NA,NA,172.97,NA,NA,NA,NA,158.62,NA,NA,NA,2015,158.62,NA,0.02
"29","Cabo Verde",NA,NA,NA,NA,NA,217.73,NA,NA,NA,NA,284.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,284.95,NA,0.67
"30","Cambodia",NA,NA,NA,NA,1321.93,NA,NA,NA,NA,NA,2052.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2052.58,NA,0.17
"31","Cameroon",NA,NA,NA,NA,2769.52,NA,NA,NA,NA,NA,2991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2991,NA,0.19
"32","Canada",462117.35,452494.72,467037.42,467406.41,482436.58,494920.25,510736.66,524789.17,533639.79,549553.21,572162.1,564946.4,570844.78,587178.15,585703.1,576434.46,570950.38,594220.57,575586.91,542549.6,555549.85,566740.99,569737.01,576327.01,575942.18,575906.94,564032.53,572834.39,586504.63,2018,586504.63,26.92,15.82
"33","Central African Republic",NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,180.46,193.34,207.36,214.71,232.21,235.91,232.95,252.59,NA,NA,NA,NA,NA,NA,NA,NA,2010,252.59,NA,0.06
"34","Chad",NA,NA,NA,309.65,NA,NA,NA,NA,334.6,358.58,304.99,368.59,452.77,4054.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,4054.6,NA,0.43
"35","Chile",33289.7,NA,NA,34963.9,38485.8,NA,NA,NA,NA,NA,54750.5,NA,NA,NA,NA,NA,60056.66,NA,NA,NA,69667,NA,NA,80498.4,NA,NA,87444,NA,NA,2016,87444,162.68,4.8
"36","China",NA,NA,NA,NA,3073470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6381000,NA,NA,NA,NA,8707376,NA,9893257,NA,10274851,NA,NA,NA,NA,2014,10274851,NA,7.34
